TStates,Addr,WStates,OpType,IStates
4125,0x800A, ,RN,1
4126,0x800A, ,RN,1
4127,0x800A, ,RN,1
4128,0x8007, ,RR,4
4135,0x8008, ,RR,4
4139,0x8009, ,RR,4
4143,0x3F1F, ,RN,1
4147,0x800A, ,RN,1
4148,0x800A, ,RN,1
4149,0x800A, ,RN,1
4150,0x800A, ,RN,1
4151,0x800A, ,RN,1
4152,0x8007, ,RR,4
4159,0x8008, ,RR,4
4163,0x8009, ,RR,4
4167,0x3F22, ,RN,1
4171,0x800A, ,RN,1
4172,0x800A, ,RN,1
4173,0x800A, ,RN,1
4174,0x800A, ,RN,1
4175,0x800A, ,RN,1
4176,0x8007, ,RR,4
