TStates,Addr,WStates,OpType
2142,0x4E18, ,WN
2143,0x4E18, ,WN
2144,0x4E18, ,WN
2145,0x4E18, ,WN
2146,0x4E18, ,WN
2147,0x4E18, ,WN
2156,0x6E19, ,R
2159,0x4E19, ,W
2162,0x4E19, ,WN
2163,0x4E19, ,WN
2164,0x4E19, ,WN
2165,0x4E19, ,WN
2166,0x4E19, ,WN
2167,0x4E19, ,WN
2168,0x4E19, ,WN
2177,0x6E1A, ,R
2180,0x4E1A, ,W
2183,0x4E1A, ,WN
2184,0x4E1A, ,WN
2185,0x4E1A, ,WN
2186,0x4E1A, ,WN
2187,0x4E1A, ,WN
2188,0x4E1A, ,WN
2189,0x4E1A, ,WN
2198,0x6E1B, ,R
2201,0x4E1B, ,W
2204,0x4E1B, ,WN
2205,0x4E1B, ,WN
2206,0x4E1B, ,WN
2207,0x4E1B, ,WN
2208,0x4E1B, ,WN
2209,0x4E1B, ,WN
2210,0x4E1B, ,WN
2219,0x6E1C, ,R
2222,0x4E1C, ,W
2225,0x4E1C, ,WN
2226,0x4E1C, ,WN
2227,0x4E1C, ,WN
2228,0x4E1C, ,WN
2229,0x4E1C, ,WN
2230,0x4E1C, ,WN
2231,0x4E1C, ,WN
2240,0x6E1D, ,R
2243,0x4E1D, ,W
2246,0x4E1D, ,WN
2247,0x4E1D, ,WN
2248,0x4E1D, ,WN
2249,0x4E1D, ,WN
2250,0x4E1D, ,WN
2251,0x4E1D, ,WN
2252,0x4E1D, ,WN
2261,0x6E1E, ,R
2264,0x4E1E, ,W
2267,0x4E1E, ,WN
2268,0x4E1E, ,WN
2269,0x4E1E, ,WN
2270,0x4E1E, ,WN
2271,0x4E1E, ,WN
2272,0x4E1E, ,WN
2273,0x4E1E, ,WN
2282,0x6E1F, ,R
2285,0x4E1F, ,W
2288,0x4E1F, ,WN
2289,0x4E1F, ,WN
2290,0x4E1F, ,WN
2291,0x4E1F, ,WN
2292,0x4E1F, ,WN
2293,0x4E1F, ,WN
2294,0x4E1F, ,WN
2303,0x6E20, ,R
