TStates,Addr,WStates,OpType,IStates
1407,0x4DF5, ,WN,1
1408,0x4DF5, ,WN,1
1409,0x4DF5, ,WN,1
1410,0x4DF5, ,WN,1
1411,0x4DF5, ,WN,1
1412,0x4DF5, ,WN,1
1413,0x87AB, ,RR,4
1417,0x87AC, ,RR,4
1427,0x4DF6, ,WN,1
1428,0x4DF6, ,WN,1
1429,0x4DF6, ,WN,1
1430,0x4DF6, ,WN,1
1431,0x4DF6, ,WN,1
1432,0x4DF6, ,WN,1
1433,0x4DF6, ,WN,1
1434,0x87AB, ,RR,4
1438,0x87AC, ,RR,4
1448,0x4DF7, ,WN,1
1449,0x4DF7, ,WN,1
1450,0x4DF7, ,WN,1
1451,0x4DF7, ,WN,1
1452,0x4DF7, ,WN,1
1453,0x4DF7, ,WN,1
1454,0x4DF7, ,WN,1
1455,0x87AB, ,RR,4
1459,0x87AC, ,RR,4
1469,0x4DF8, ,WN,1
1470,0x4DF8, ,WN,1
1471,0x4DF8, ,WN,1
1472,0x4DF8, ,WN,1
1473,0x4DF8, ,WN,1
1474,0x4DF8, ,WN,1
1475,0x4DF8, ,WN,1
1476,0x87AB, ,RR,4
1480,0x87AC, ,RR,4
1490,0x4DF9, ,WN,1
1491,0x4DF9, ,WN,1
1492,0x4DF9, ,WN,1
1493,0x4DF9, ,WN,1
1494,0x4DF9, ,WN,1
1495,0x4DF9, ,WN,1
1496,0x4DF9, ,WN,1
1497,0x87AB, ,RR,4
1501,0x87AC, ,RR,4
1511,0x4DFA, ,WN,1
1512,0x4DFA, ,WN,1
1513,0x4DFA, ,WN,1
1514,0x4DFA, ,WN,1
1515,0x4DFA, ,WN,1
1516,0x4DFA, ,WN,1
1517,0x4DFA, ,WN,1
1518,0x87AB, ,RR,4
1522,0x87AC, ,RR,4
1532,0x4DFB, ,WN,1
1533,0x4DFB, ,WN,1
1534,0x4DFB, ,WN,1
1535,0x4DFB, ,WN,1
1536,0x4DFB, ,WN,1
1537,0x4DFB, ,WN,1
1538,0x4DFB, ,WN,1
1539,0x87AB, ,RR,4
1543,0x87AC, ,RR,4
1553,0x4DFC, ,WN,1
1554,0x4DFC, ,WN,1
1555,0x4DFC, ,WN,1
1556,0x4DFC, ,WN,1
1557,0x4DFC, ,WN,1
1558,0x4DFC, ,WN,1
1559,0x4DFC, ,WN,1
1560,0x87AB, ,RR,4
1564,0x87AC, ,RR,4
1574,0x4DFD, ,WN,1
1575,0x4DFD, ,WN,1
1576,0x4DFD, ,WN,1
1577,0x4DFD, ,WN,1
1578,0x4DFD, ,WN,1
1579,0x4DFD, ,WN,1
1580,0x4DFD, ,WN,1
1581,0x87AB, ,RR,4
1585,0x87AC, ,RR,4
1595,0x4DFE, ,WN,1
1596,0x4DFE, ,WN,1
1597,0x4DFE, ,WN,1
1598,0x4DFE, ,WN,1
1599,0x4DFE, ,WN,1
1600,0x4DFE, ,WN,1
1601,0x4DFE, ,WN,1
1602,0x87AB, ,RR,4
1606,0x87AC, ,RR,4
1616,0x4DFF, ,WN,1
1617,0x4DFF, ,WN,1
1618,0x4DFF, ,WN,1
1619,0x4DFF, ,WN,1
1620,0x4DFF, ,WN,1
1621,0x4DFF, ,WN,1
1622,0x4DFF, ,WN,1
1623,0x87AB, ,RR,4
1627,0x87AC, ,RR,4
1637,0x4E00, ,WN,1
1638,0x4E00, ,WN,1
1639,0x4E00, ,WN,1
1640,0x4E00, ,WN,1
1641,0x4E00, ,WN,1
1642,0x4E00, ,WN,1
1643,0x4E00, ,WN,1
1644,0x87AB, ,RR,4
1648,0x87AC, ,RR,4
1658,0x4E01, ,WN,1
1659,0x4E01, ,WN,1
1660,0x4E01, ,WN,1
1661,0x4E01, ,WN,1
1662,0x4E01, ,WN,1
1663,0x4E01, ,WN,1
1664,0x4E01, ,WN,1
1665,0x87AB, ,RR,4
1669,0x87AC, ,RR,4
1679,0x4E02, ,WN,1
1680,0x4E02, ,WN,1
1681,0x4E02, ,WN,1
1682,0x4E02, ,WN,1
1683,0x4E02, ,WN,1
1684,0x4E02, ,WN,1
1685,0x4E02, ,WN,1
1686,0x87AB, ,RR,4
1690,0x87AC, ,RR,4
1700,0x4E03, ,WN,1
1701,0x4E03, ,WN,1
1702,0x4E03, ,WN,1
1703,0x4E03, ,WN,1
1704,0x4E03, ,WN,1
1705,0x4E03, ,WN,1
1706,0x4E03, ,WN,1
1707,0x87AB, ,RR,4
1711,0x87AC, ,RR,4
